pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.3637.1	6	8	8	1.133791133e-05	1.51172151066e-05	1.51172151066e-05
PB.373.3	1	1	1.33333333333	1.88965188833e-06	1.88965188833e-06	2.51953585111e-06
PB.373.2	2	2	2.33333333333	3.77930377666e-06	3.77930377666e-06	4.40918773943e-06
PB.373.1	5	5	5.33333333333	9.44825944165e-06	9.44825944165e-06	1.00781434044e-05
PB.6563.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.4178.2	2	3	5.33333333333	3.77930377666e-06	5.66895566499e-06	1.00781434044e-05
PB.4178.1	42	59	63.8333333333	7.93653793098e-05	0.000111489461411	0.000120622778872
PB.6563.2	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.4023.2	1	1	3.0	1.88965188833e-06	1.88965188833e-06	5.66895566499e-06
PB.4023.1	9	10	12.0	1.7006866995e-05	1.88965188833e-05	2.26758226599e-05
PB.2132.2	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.2132.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.1200.1	3	7	7	5.66895566499e-06	1.32275632183e-05	1.32275632183e-05
PB.6432.4	0	0	2.41666666667	0.0	0.0	4.56665873013e-06
PB.7638.2	0	0	0.783333333333	0.0	0.0	1.48022731252e-06
PB.6432.2	1	1	2.25	1.88965188833e-06	1.88965188833e-06	4.25171674874e-06
PB.6432.3	0	0	0.916666666667	0.0	0.0	1.73218089764e-06
PB.6981.1	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.6432.1	3	4	6.41666666667	5.66895566499e-06	7.55860755332e-06	1.21252662834e-05
PB.569.1	5	14	15.0	9.44825944165e-06	2.64551264366e-05	2.83447783249e-05
PB.1907.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.4158.1	4	8	8	7.55860755332e-06	1.51172151066e-05	1.51172151066e-05
PB.5794.5	1	2	4.23134920635	1.88965188833e-06	3.77930377666e-06	7.99577701796e-06
PB.6793.2	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.836.7	2	4	5.66666666667	3.77930377666e-06	7.55860755332e-06	1.07080273672e-05
PB.6793.1	7	51	64.8333333333	1.32275632183e-05	9.63722463048e-05	0.00012251243076
PB.6801.2	0	3	3.5	0.0	5.66895566499e-06	6.61378160915e-06
PB.428.1	34	82	90.0	6.42481642032e-05	0.000154951454843	0.00017006866995
PB.428.2	0	0	8.0	0.0	0.0	1.51172151066e-05
PB.2559.1	51	56	62.0833333333	9.63722463048e-05	0.000105820505746	0.000117315888067
PB.279.2	3	3	5.5	5.66895566499e-06	5.66895566499e-06	1.03930853858e-05
PB.7725.1	4	6	6	7.55860755332e-06	1.133791133e-05	1.133791133e-05
PB.2975.4	18	25	30.6	3.40137339899e-05	4.72412972082e-05	5.78233477829e-05
PB.971.1	3	5	5	5.66895566499e-06	9.44825944165e-06	9.44825944165e-06
PB.2379.1	2	7	7	3.77930377666e-06	1.32275632183e-05	1.32275632183e-05
PB.6408.4	2	5	10.4166666667	3.77930377666e-06	9.44825944165e-06	1.96838738368e-05
PB.6408.1	10	52	61.25	1.88965188833e-05	9.82618981931e-05	0.00011574117816
PB.6408.3	6	6	13.75	1.133791133e-05	1.133791133e-05	2.59827134645e-05
PB.6408.2	1	1	3.83333333333	1.88965188833e-06	1.88965188833e-06	7.24366557193e-06
PB.3228.2	1	4	4	1.88965188833e-06	7.55860755332e-06	7.55860755332e-06
PB.5159.1	2	2	13.5666666667	3.77930377666e-06	3.77930377666e-06	2.5636277285e-05
PB.3228.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.1519.3	0	0	0.25	0.0	0.0	4.72412972082e-07
PB.3285.1	0	5	5	0.0	9.44825944165e-06	9.44825944165e-06
PB.6239.1	3	3	3	5.66895566499e-06	5.66895566499e-06	5.66895566499e-06
PB.3683.1	2	5	5	3.77930377666e-06	9.44825944165e-06	9.44825944165e-06
PB.2975.1	0	1	1.45	0.0	1.88965188833e-06	2.73999523808e-06
PB.6892.1	3	8	10.0	5.66895566499e-06	1.51172151066e-05	1.88965188833e-05
PB.6892.2	4	5	5.5	7.55860755332e-06	9.44825944165e-06	1.03930853858e-05
PB.6892.3	15	17	19.0	2.83447783249e-05	3.21240821016e-05	3.59033858783e-05
PB.6078.14	1	2	15.2547619048	1.88965188833e-06	3.77930377666e-06	2.88261896393e-05
PB.4186.9	0	0	0.166666666667	0.0	0.0	3.14941981388e-07
PB.6243.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.4186.4	0	0	0.583333333333	0.0	0.0	1.10229693486e-06
PB.4186.5	0	2	2.58333333333	0.0	3.77930377666e-06	4.88160071152e-06
PB.7488.1	4	4	4	7.55860755332e-06	7.55860755332e-06	7.55860755332e-06
PB.4878.2	3	7	7.5	5.66895566499e-06	1.32275632183e-05	1.41723891625e-05
PB.4186.1	6	7	8.45	1.133791133e-05	1.32275632183e-05	1.59675584564e-05
PB.4186.2	2	3	3.86666666667	3.77930377666e-06	5.66895566499e-06	7.30665396821e-06
PB.6518.2	0	0	3.0	0.0	0.0	5.66895566499e-06
PB.4902.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.206.1	0	1	1.5	0.0	1.88965188833e-06	2.83447783249e-06
PB.3252.5	3	4	6.65	5.66895566499e-06	7.55860755332e-06	1.25661850574e-05
PB.979.2	137	138	153.75	0.000258882308701	0.000260771960589	0.000290533977831
PB.979.1	1	1	13.45	1.88965188833e-06	1.88965188833e-06	2.5415817898e-05
PB.3252.6	3	7	10.6	5.66895566499e-06	1.32275632183e-05	2.00303100163e-05
PB.3252.1	11	15	21.2666666667	2.07861707716e-05	2.83447783249e-05	4.01865968251e-05
PB.276.1	2	2	2	3.77930377666e-06	3.77930377666e-06	3.77930377666e-06
PB.3252.3	0	0	3.68333333333	0.0	0.0	6.96021778868e-06
PB.979.4	1	1	10.1666666667	1.88965188833e-06	1.88965188833e-06	1.92114608647e-05
PB.737.3	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.737.2	19	21	27.0	3.59033858783e-05	3.96826896549e-05	5.10206009849e-05
PB.4162.4	4	9	11.25	7.55860755332e-06	1.7006866995e-05	2.12585837437e-05
PB.4162.5	0	0	0.25	0.0	0.0	4.72412972082e-07
PB.4162.3	0	0	0.333333333333	0.0	0.0	6.29883962776e-07
PB.4162.1	14	20	22.5833333333	2.64551264366e-05	3.77930377666e-05	4.26746384781e-05
PB.5916.12	29	29	38.1503968254	5.47999047615e-05	5.47999047615e-05	7.20909694016e-05
PB.5916.13	1	1	2.66071428571	1.88965188833e-06	1.88965188833e-06	5.0278237743e-06
PB.5916.10	10	10	15.9591269841	1.88965188833e-05	1.88965188833e-05	3.01571944416e-05
PB.5916.11	52	52	60.0428571429	9.82618981931e-05	9.82618981931e-05	0.000113460098381
PB.5916.14	0	0	7.42619047619	0.0	0.0	1.40329148564e-05
PB.6006.2	0	1	2.0	0.0	1.88965188833e-06	3.77930377666e-06
PB.2210.1	5	16	18.25	9.44825944165e-06	3.02344302133e-05	3.4486146962e-05
PB.2210.2	1	1	1.75	1.88965188833e-06	1.88965188833e-06	3.30689080458e-06
PB.2210.3	0	0	1.25	0.0	0.0	2.36206486041e-06
PB.2210.4	0	2	2.75	0.0	3.77930377666e-06	5.19654269291e-06
PB.4943.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.1386.1	8	13	13	1.51172151066e-05	2.45654745483e-05	2.45654745483e-05
PB.4474.1	1	6	6	1.88965188833e-06	1.133791133e-05	1.133791133e-05
PB.1921.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.4581.1	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.1921.1	3	3	4.0	5.66895566499e-06	5.66895566499e-06	7.55860755332e-06
