pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.5171.1	5	6	6.5	1.39328936112e-05	1.67194723335e-05	1.81127616946e-05
PB.7275.1	0	9	9	0.0	2.50792085002e-05	2.50792085002e-05
PB.6211.1	3	7	7	8.35973616673e-06	1.95060510557e-05	1.95060510557e-05
PB.2694.1	1	3	3	2.78657872224e-06	8.35973616673e-06	8.35973616673e-06
PB.3794.1	4	5	5	1.1146314889e-05	1.39328936112e-05	1.39328936112e-05
PB.5143.2	1	1	2.33333333333	2.78657872224e-06	2.78657872224e-06	6.50201701857e-06
PB.5143.3	0	0	1.83333333333	0.0	0.0	5.10872765744e-06
PB.5143.1	7	13	14.8333333333	1.95060510557e-05	3.62255233891e-05	4.13342510466e-05
PB.3627.1	31	34	37.3333333333	8.63839403895e-05	9.47436765562e-05	0.000104032272297
PB.7484.2	0	4	12.5	0.0	1.1146314889e-05	3.4832234028e-05
PB.7012.1	9	14	14	2.50792085002e-05	3.90121021114e-05	3.90121021114e-05
PB.3627.2	0	0	1.33333333333	0.0	0.0	3.71543829632e-06
PB.7816.1	1	2	3.0	2.78657872224e-06	5.57315744448e-06	8.35973616673e-06
PB.3951.2	0	2	5.21590909091	0.0	5.57315744448e-06	1.45345412899e-05
PB.642.2	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.7484.1	21	36	44.5	5.85181531671e-05	0.000100316834001	0.00012400275314
PB.654.2	0	0	2.0	0.0	0.0	5.57315744448e-06
PB.1164.1	5	7	7	1.39328936112e-05	1.95060510557e-05	1.95060510557e-05
PB.3776.1	1	3	3	2.78657872224e-06	8.35973616673e-06	8.35973616673e-06
PB.957.3	0	2	5.16666666667	0.0	5.57315744448e-06	1.43973233983e-05
PB.957.2	0	0	2.16666666667	0.0	0.0	6.03758723152e-06
PB.957.1	13	17	20.6666666667	3.62255233891e-05	4.73718382781e-05	5.7589293593e-05
PB.1917.1	1	5	5	2.78657872224e-06	1.39328936112e-05	1.39328936112e-05
PB.4486.1	0	2	2	0.0	5.57315744448e-06	5.57315744448e-06
PB.4683.6	0	0	2.41666666667	0.0	0.0	6.73423191209e-06
PB.5038.1	3	6	9.16666666667	8.35973616673e-06	1.67194723335e-05	2.55436382872e-05
PB.5038.3	1	1	2.5	2.78657872224e-06	2.78657872224e-06	6.96644680561e-06
PB.5038.2	8	9	12.1666666667	2.22926297779e-05	2.50792085002e-05	3.39033744539e-05
PB.5038.4	1	2	4.83333333333	2.78657872224e-06	5.57315744448e-06	1.34684638242e-05
PB.1465.1	1	8	8	2.78657872224e-06	2.22926297779e-05	2.22926297779e-05
PB.5385.2	29	30	45.1666666667	8.0810782945e-05	8.35973616673e-05	0.000125860472288
PB.2365.1	1	1	5.2	2.78657872224e-06	2.78657872224e-06	1.44902093557e-05
PB.2365.3	1	1	2.7	2.78657872224e-06	2.78657872224e-06	7.52376255005e-06
PB.136.1	2	4	4	5.57315744448e-06	1.1146314889e-05	1.1146314889e-05
PB.341.1	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.6104.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.6629.2	0	0	0.75	0.0	0.0	2.08993404168e-06
PB.2224.1	2	2	2	5.57315744448e-06	5.57315744448e-06	5.57315744448e-06
PB.6392.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.2992.2	0	1	4.33333333333	0.0	2.78657872224e-06	1.2075174463e-05
PB.2883.2	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.2551.1	3	3	3.5	8.35973616673e-06	8.35973616673e-06	9.75302552785e-06
PB.2716.2	1	2	3.0	2.78657872224e-06	5.57315744448e-06	8.35973616673e-06
PB.1144.1	0	3	3.5	0.0	8.35973616673e-06	9.75302552785e-06
PB.3637.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.373.3	0	0	1.0	0.0	0.0	2.78657872224e-06
PB.373.2	2	4	6.0	5.57315744448e-06	1.1146314889e-05	1.67194723335e-05
PB.373.1	5	6	8.0	1.39328936112e-05	1.67194723335e-05	2.22926297779e-05
PB.6563.1	3	3	3	8.35973616673e-06	8.35973616673e-06	8.35973616673e-06
PB.4178.2	0	0	0.833333333333	0.0	0.0	2.3221489352e-06
PB.4178.1	18	23	23.8333333333	5.01584170004e-05	6.40913106116e-05	6.64134595468e-05
PB.6563.2	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.4023.2	0	0	3.5	0.0	0.0	9.75302552785e-06
PB.4023.1	16	22	25.5	4.45852595559e-05	6.13047318893e-05	7.10577574172e-05
PB.2132.2	2	2	2	5.57315744448e-06	5.57315744448e-06	5.57315744448e-06
PB.6432.4	0	0	1.08333333333	0.0	0.0	3.01879361576e-06
PB.6432.2	1	1	2.58333333333	2.78657872224e-06	2.78657872224e-06	7.19866169913e-06
PB.6432.3	0	0	0.25	0.0	0.0	6.96644680561e-07
PB.6432.1	1	2	3.08333333333	2.78657872224e-06	5.57315744448e-06	8.59195106025e-06
PB.569.1	9	32	32	2.50792085002e-05	8.91705191118e-05	8.91705191118e-05
PB.1907.1	0	3	3	0.0	8.35973616673e-06	8.35973616673e-06
PB.4158.1	2	7	7	5.57315744448e-06	1.95060510557e-05	1.95060510557e-05
PB.5283.10	0	0	0.5	0.0	0.0	1.39328936112e-06
PB.4683.5	0	0	2.08333333333	0.0	0.0	5.805372338e-06
PB.6793.2	1	1	1.33333333333	2.78657872224e-06	2.78657872224e-06	3.71543829632e-06
PB.836.7	2	2	3.125	5.57315744448e-06	5.57315744448e-06	8.70805850701e-06
