NSC	NSC	OLD	OLD
PB.5122.1	10987.47	9497.14	7348.44	5954.42
PB.5122.2	12366.42	8582.22	3844.2	4433.02
PB.5122.3	938.11	485.64	530.37	422.89
PB.5123.1	171	67	228	264
PB.5124.1	35844	19370	14858	14718
PB.5125.1	8755.3	6203.67	5537.79	5615.72
PB.5126.1	1929.59	1130.46	880.51	833.73
PB.5126.2	1360.41	703.54	1980.49	1994.28
PB.5127.1	638.25	663.92	194.6	213.35
PB.5127.2	596.04	584.01	408.66	360.94
PB.5127.3	361.71	240.07	289.75	159.71
PB.5128.1	567	349	445	377
PB.5129.1	1424	921	555	520
PB.513.1	227.54	320.72	2607.03	1105.2
PB.513.2	419.53	353.63	2599.48	2193.22
PB.513.3	785.49	523.24	920.38	1757.17
PB.513.4	145.44	205.41	266.11	385.41
PB.5130.1	1029	1004	231	224
PB.5131.1	36218.62	25922.76	22976.47	24965.18
PB.5131.2	1629.51	1239.47	8993.26	6865.99
PB.5131.3	412.53	510.25	137.75	314.1
PB.5131.4	682.86	710.06	759.01	909.37
PB.5131.5	2244.49	2169.47	3978.51	3231.36
PB.5132.1	745.32	441.29	2348.98	2419.6
PB.5132.2	634.68	208.71	714.02	747.4
PB.5133.1	2468	1436	2223	1892
PB.5134.1	747.77	258.39	188.48	243.58
PB.5134.2	430.23	65.61	183.52	119.42
PB.5135.1	3236.33	2115.74	2688.83	2791.78
PB.5135.2	106.53	92.22	35.11	59.67
PB.5135.3	1877.73	1321.05	1260.89	1129.79
PB.5135.4	38.4	52	9.18	7.77
PB.5136.1	2213	1593	695	622
PB.5137.1	1709.19	1348.38	1067.92	819.17
PB.5137.2	15.68	14.14	24.25	32.76
PB.5137.3	6341.95	3185.05	2748.64	1850.05
PB.5137.4	520.64	336.23	180.54	148.3
PB.5137.5	3620.6	4024.13	2594.02	2217.61
PB.5137.6	1078.16	301.59	593.95	854.13
PB.5137.7	454.52	377.9	30.74	88.56
PB.5137.8	17.83	32.54	13.88	10.65
PB.5137.9	2240.45	1208.04	964.08	667.76
PB.5138.1	15426	11936	2323	2184
PB.5139.1	109	159	7715	8624
PB.514.1	1364	1026	1468	1295
PB.5140.1	204.3	86.99	107.05	102.59
PB.5140.2	170.57	75.7	153.52	109.21
PB.5140.3	4795.14	2800.31	2449.43	2356.2
PB.5141.1	331.81	307.19	550.61	435.89
PB.5141.2	451.2	840.79	133.83	163.98
PB.5141.3	17	21.02	31.56	29.13
PB.5142.1	616	588	128	118
PB.5143.1	6326.82	6878.3	4553.75	3868.97
PB.5143.2	165.24	85.76	33.46	15.62
PB.5143.3	14.94	12.94	7.79	5.42
PB.5144.1	3612	2463	2405	2279
PB.5145.1	2436.23	1221.58	206.51	93.61
PB.5145.2	3438.77	2799.42	1266.49	1065.39
PB.5146.1	1649	893	1375	1390
PB.5147.1	1725	1330	846	647
PB.5148.1	10453	6230	5458	4934
PB.5149.1	13884.11	9895.1	14336.49	13065.31
PB.5149.2	34.89	47.9	18.51	18.69
PB.515.1	426	221	1666	1762
PB.5150.1	980.49	742.65	365.96	356.61
PB.5150.2	195.51	87.35	103.04	87.39
PB.5151.1	539.4	436.88	585.73	517.34
PB.5152.1	475.6	310.12	741.27	769.66
PB.5153.1	2075	1110	3381	2936
PB.5154.1	7716	6552	2478	2386
PB.5155.1	4720	3224	2618	2575
PB.5156.1	5002.78	2979.45	4097.79	3412.92
PB.5156.2	8043.17	6182.02	4586.51	4138.71
PB.5156.3	2484.05	1720.53	1560.69	1625.37
PB.5157.1	1000.47	494.99	1015.12	967.1
PB.5157.2	877.33	622.29	1020.77	525.19
PB.5157.3	351.96	228.57	206.25	211.09
PB.5157.4	11.24	15.15	38.85	14.62
PB.5158.1	2214.42	1814.57	5930.23	6573.7
PB.5158.2	10083.74	6264.18	20375.19	17954.72
PB.5158.3	165.56	218.21	1214.24	923.86
PB.5158.4	11.24	64.95	28.5	79.33
PB.5158.5	3663.07	2421.47	6994.62	6056.04
PB.5159.1	105.23	83.13	186.73	130.39
PB.516.1	413.95	108.36	613.69	555.98
PB.5160.1	8580.11	5859.92	6029.32	6353.94
PB.5160.2	560.89	585.08	61.68	120.06
PB.5161.1	742	455	705	517
PB.5162.1	1805	1265	942	787
PB.5163.1	2340	2221	914	958
PB.5164.1	302.79	42.54	541.73	422.16
PB.5164.2	1568.04	305.77	1432.79	1547.71
PB.5164.3	239.95	220.32	482.1	437.12
PB.5164.4	1562.22	637.37	803.38	665.02
PB.5165.1	79096.2	65178.64	9584.36	8425.4
PB.5165.2	75.83	118.51	11.55	18.28
PB.5165.3	443.97	436.86	111.09	105.32
PB.5166.1	182.92	178.3	385.01	298.32
PB.5166.2	2229.08	1200.7	1660.99	1309.68
PB.5167.1	242	192	1305	1276
PB.5168.1	351.96	188.61	914.37	1091.1
PB.5168.2	12.6	24.46	11.31	11.88
PB.5168.3	312	149.94	2243.95	1752.19
PB.5169.1	1974	1453	976	913
PB.517.1	350.05	83.64	585.31	542.02
PB.5170.1	937.09	476.75	1508.49	1441.57
PB.5170.2	111.56	127.39	525.69	543.54
PB.5170.3	188.35	152.86	374.82	247.89
PB.5171.1	46273	32237	8035	7606
PB.5172.1	6417.28	2624.22	9089.05	9089.35
PB.5172.2	772.72	214.78	1586.95	1634.65
PB.5173.1	985	672	45	53
PB.5174.1	831.75	197.62	1009.58	1101.69
PB.5174.2	63.2	58.91	44.83	31.1
PB.5174.3	1336.13	606.46	1534.2	1176.46
PB.5174.4	11898.41	6138.67	9664.18	9572.22
PB.5174.5	418.51	358.35	568.22	426.53
PB.5175.1	742	500	415	427
PB.5176.1	495	493	246	243
PB.5177.1	526.15	455.47	588.83	472.24
PB.5177.2	7119.86	3879.54	9446.61	8114.26
PB.5177.3	4167.99	2934.99	2218.56	3707.49
PB.5178.1	1296	932	1370	1198
PB.5179.1	2586	2073	4375	4049
PB.518.1	372	124	738	783
PB.5180.1	7435	3024	1786	1665
PB.5181.1	3566.89	1910.65	1322.94	1100.66
PB.5181.2	771.85	319.16	682.63	377.9
PB.5181.3	563.25	203.19	481.43	336.45
PB.5182.1	3209.29	2740.45	1153.4	1017.48
PB.5182.2	2159.95	1996.17	889.82	797.58
PB.5182.3	207.05	66.45	176.83	271.24
PB.5182.4	1845.15	1276.14	1242.07	985.06
PB.5182.5	725	313.63	567.65	243.19
PB.5182.6	170.12	230.39	464.11	607.44
PB.5182.7	209.72	201.44	207.62	203.4
PB.5183.1	274.73	326.32	180.49	122.61
PB.5184.1	14048	9859	10447	10526
PB.5185.1	1412.1	1159.44	2592.77	2261.39
PB.5185.2	9831.02	6010.52	14182.74	13975.5
PB.5185.3	2180.6	2834.39	8218.8	7418.09
PB.5185.4	3770.34	2127.79	515.95	1871.39
PB.5186.1	8416.42	2498.34	2848.71	2577.02
PB.5186.2	104.74	74.68	108.67	58.2
PB.5186.3	36.64	17.06	27.44	15.62
PB.5186.4	40.14	31.77	23.92	11.79
PB.5187.1	4540.35	1243.88	1232.93	1040.78
PB.5187.2	654.95	191.67	231.51	169.27
PB.5187.3	1713.41	342.81	570.96	501.56
PB.5187.4	21.29	23.63	46.61	12.39
PB.5188.1	1902	865	734	698
PB.5189.1	524.51	405.94	427.58	421.38
PB.5189.2	490.77	205.06	234.42	173.97
PB.519.1	267	256	552	522
PB.5190.1	2848.81	1314.25	2204.49	2001.6
PB.5190.2	829.01	543.16	398.72	371
PB.5190.3	1115.19	852.34	714.29	727.51
PB.5191.1	2079.91	1767.08	1710.25	1256.5
PB.5191.2	27.07	27.17	112.25	71.4
PB.5192.1	19730	10658	12853	9912
PB.5193.1	169	141	1471	1169
PB.5194.1	2335	1678	1084	980
PB.5195.1	1329.92	416.64	186.45	244.01
PB.5195.2	1336.99	2152.43	1163.3	643.32
PB.5195.3	1765.09	1188.92	542.24	676.67
PB.5196.1	1405.7	444.62	657.07	746.49
PB.5197.1	924.3	846.38	476.94	263.51
PB.5198.1	711	526	258	299
PB.5199.1	31	63	5819	5496
PB.52.1	10914.38	5121.83	20529.54	18743.24
PB.52.2	132.67	57.04	31.74	331.2
PB.52.3	46.61	44.24	197.64	39.72
PB.52.4	3829.82	1247.08	4133.16	5536.33
PB.52.5	181.82	66.7	90.16	210.66
PB.52.6	355.49	89.48	377.8	724.93
PB.52.7	30.21	79.63	221.96	132.91
PB.520.1	11566	7370	9247	9762
PB.5200.1	60255	34583	47968	43229
PB.5201.1	855	717	509	512
PB.5202.1	4621	2187	4113	3554
PB.5203.1	60.64	43.75	336.13	447.08
PB.5203.2	1201.9	659.02	4481.32	2588.24
PB.5203.3	1551.46	1503.22	3681.55	4823.67
PB.5204.1	1398.37	849.44	713.1	496.74
PB.5204.2	2985.63	2172.56	1965.9	1882.26
PB.5205.1	4370.68	2419.96	2037.76	1321.34
PB.5205.2	1338.45	1236.31	1292.35	1243.53
PB.5205.3	528.03	607.6	517.72	278.97
PB.5205.4	192.7	117.72	195.05	190.95
PB.5205.5	2225.23	1836.77	1819.07	1566.65
PB.5205.6	2782.9	2491.65	2059.05	1899.56
PB.5206.1	7864	3911	4506	4725
PB.5207.1	518	324	1209	1170
PB.5208.1	41.34	19.87	65.42	44.39
PB.5208.2	1577.63	1130.9	1844.27	1951.14
PB.5208.3	12.38	19.93	22.27	24.92
PB.5208.4	275.65	194.3	923.05	1135.55
PB.5209.1	14	45	1195	1466
PB.521.1	23.15	14	18.05	14
PB.5210.1	370	65	908	865
PB.5211.1	19073	10064	10925	10418
PB.5212.1	12412.79	9636.1	4350.21	3917.5
PB.5212.2	14375.93	8886.71	26040.67	23148.64
PB.5212.3	1154.48	395.75	671.46	460.05
PB.5212.4	18.65	39.73	205.19	170.41
PB.5212.5	74.16	663.72	3262.48	4966.4
PB.5213.1	1380	1023	1142	1139
PB.5214.1	5786	3289	1626	1655
PB.5215.1	11602.02	8467.57	11622.17	10176.93
PB.5215.2	587.58	403.58	379.57	265.67
PB.5215.3	1045.4	375.86	406.27	1071.4
PB.5216.1	2822	1948	1731	1791
PB.5217.1	6479.29	3140.9	9521.59	9264.53
PB.5217.2	17.71	17.1	19.41	21.47
PB.5218.1	1411.9	1792.54	465.71	587.98
PB.5218.2	1798.69	1634.28	613.32	481.12
PB.5218.3	892.41	920.17	533.97	640.9
PB.5219.1	50802.4	26260.9	36883.15	38059.19
PB.5219.2	651.6	487.1	486.85	340.81
PB.522.1	15	23	13	11
PB.5220.1	4501	2611	7226	5556
PB.5221.1	5744	5118	4193	3327
PB.5222.1	676	493	386	377
PB.5223.1	105.21	168.29	301.53	317.12
PB.5224.1	2395	1432	913	710
PB.5225.1	182.75	107.82	940.44	1131.43
PB.5225.2	176.86	46.55	667.95	532.38
PB.5225.3	191.99	82.1	825.61	658.8
PB.5225.4	45.4	31.53	460	192.4
PB.5226.1	4378	3897	2222	2285
PB.5227.1	727	339	835	771
PB.5228.1	697	480	337	297
PB.5229.1	5266	4633	16862	16495
PB.523.1	3448	2227	5510	5016
PB.5230.1	578.07	701.52	1248.22	1203.01
PB.5230.2	1944.93	1394.48	1326.78	1207.99
PB.5231.1	221.15	87.66	122.38	97.42
PB.5231.2	177.85	193.34	188.84	184.58
PB.5232.1	747	413	470	369
PB.5233.1	701.77	473.38	241.85	402.15
PB.5233.2	2925.13	1380.35	649.5	339.56
PB.5233.3	1600.77	1288.99	779.06	649.42
PB.5233.4	1835.33	1089.29	915.6	823.87
PB.5234.1	9470.55	4880.74	11698.47	10684.54
PB.5234.2	1303.45	700.25	1291.53	1575.46
PB.5235.1	6728.1	2459.29	6618.12	5995.33
PB.5235.2	2185.9	1689.71	3110.88	3155.67
PB.5236.1	362	235	201	199
PB.5237.1	4248.22	2296.91	1766.34	1601.1
PB.5238.1	40.78	36.09	59.66	16.9
PB.5239.1	236	140	305	271
PB.524.1	0	2	0	0
PB.5240.1	1813	559	3502	3338
PB.5241.1	1404.26	808.7	2265.01	979.99
PB.5241.2	305.51	367.84	1718.84	2503.72
PB.5241.3	945.21	1039.48	1069.72	1800.31
PB.5241.4	303.89	424.11	572.14	461.07
PB.5241.5	269.13	234.88	1018.29	965.9
PB.5242.1	177.53	109.72	2546.99	2117.95
PB.5242.2	9.47	5.28	13.01	16.05
PB.5243.1	720.76	329.24	846.97	840.23
PB.5243.2	648.68	258.63	419.09	535.95
PB.5243.3	242.55	343.12	439.94	259.82
PB.5244.1	916	707	560	558
PB.5244.2	57	25	28	28
PB.5245.1	1296.02	941.24	1024.7	1100.24
PB.5245.10	54.67	49.98	85.95	42.2
PB.5245.11	42.85	137.73	97.01	151.42
PB.5245.2	547.7	297.79	269.02	205.74
PB.5245.3	518.42	643.11	217.66	169.56
PB.5245.4	1438.29	1224.43	589.78	521.16
PB.5245.5	373.98	176.28	325.05	289.05
PB.5245.6	5427.75	3502.65	2324.54	1737.99
PB.5245.7	457.48	467.18	183.13	159.12
PB.5245.8	85.64	206.49	45.76	192.42
PB.5245.9	228.21	298.13	164.4	270.1
PB.5246.1	12469.05	10099.65	2825.01	2582.31
PB.5246.2	1537.54	1508.04	2127.65	1711.61
PB.5246.3	4.11	6.26	8.14	6.56
PB.5246.4	2290.29	924.32	739.36	959.84
PB.5246.5	1216.01	1026.72	1182.85	723.68
PB.5247.1	1151.21	609.93	384.04	380.98
PB.5247.2	1447.79	750.07	689.97	619.02
PB.5248.1	19365	12286	11259	10845
PB.5249.1	6520.67	2889.41	3865.77	3487.91
PB.525.1	422.13	55.12	117.17	109.79
PB.525.2	137.21	201.7	66.86	207.29
PB.525.3	2217	2449.93	801.69	695.06
PB.525.4	539.14	380.57	279.52	231.31
PB.525.5	1289.28	2694.17	877.24	387.7
PB.525.6	8206.48	5472.46	3685.39	4045.27
PB.525.7	2106.5	1453.84	570.62	724.37
PB.525.8	1074.27	1044.19	1162.5	762.2
PB.5250.1	2737.33	1486.59	2087.23	1837.09
PB.5251.1	1234.22	1658.34	487.32	451.69
PB.5251.2	15.78	22.66	34.68	19.31
PB.5252.1	267	147	165	121
PB.5253.1	675.42	589.74	337.55	319.46
PB.5253.2	479.35	345.39	170.93	151.02
PB.5253.3	1030.22	765.87	597.51	553.52
PB.5254.1	1944	808	1291	1327
PB.5255.1	2139.74	1381.19	1057.88	922.4
PB.5255.2	1399.26	830.81	1701.12	1417.6
PB.5256.1	2154	1419	1792	1506
PB.5257.1	1135.75	889.19	1771.14	1544.35
PB.5257.2	1439.25	1153.81	1577.86	1623.65
PB.5258.1	395	141	1380	1181
PB.5259.1	1162.68	564.51	815.51	646.35
PB.526.1	2568.97	1093.04	1894.44	1249.88
PB.526.2	1329.03	1081.96	1638.56	1486.12
PB.5260.1	3872.32	1953.49	2680.49	2489.65
PB.5261.1	480239.03	146633.62	278843.79	277440.56
PB.5261.10	118443.38	26423.25	37454.36	41755.41
PB.5261.11	1131.11	309.68	644.84	586.58
PB.5261.2	657.27	217.42	488.02	835.89
PB.5261.3	8849.37	538.4	1682.07	1785.41
PB.5261.4	875.8	162.04	456.25	371.94
PB.5261.5	9229.4	1842.43	3552.63	3242.5
PB.5261.6	24235.19	7813.76	13610.93	14024.56
PB.5261.7	48.44	28.76	47.87	64.92
PB.5261.8	1310.77	86.9	665.95	790.98
PB.5261.9	21360.24	3685.74	6664.29	14401.26
PB.5262.1	191.5	296.64	286.27	226.05
PB.5263.1	969.9	172.36	170.73	152.95
PB.5264.1	479	468	241	184
PB.5265.1	21304	9603	14972	14370
PB.5266.1	5783.24	4618.24	4728.26	4647.17
PB.5266.2	462.33	205.78	192.74	224.09
PB.5266.3	587.34	248.03	232.15	196.26
PB.5267.1	2702.24	1754.17	1336.48	1271.57
PB.5268.1	1148.86	347.53	820.1	566.51
PB.5269.1	492	353	310	247
PB.527.1	16997.27	9602.79	14096.4	12877.66
PB.527.2	288.56	202.47	283.73	249.41
PB.527.3	24.35	15.45	8.57	18.04
PB.527.4	170.35	126.06	134.42	125.08
PB.527.5	618.87	391.42	33.87	90.76
PB.527.6	82.38	70.57	79.77	136.19
PB.527.7	426.29	298.4	225.86	476.12
PB.527.8	512.92	591.83	207.38	184.75
PB.5270.1	5659.57	3690.6	2123.91	2125.83
PB.5270.2	313.84	228.67	74.38	120.4
PB.5270.3	2345.59	1170.73	1000.7	1455.77
PB.5271.1	346	342	297	303
PB.5272.1	15084	8663	9139	8028
PB.5273.1	5302	3772	2423	2156
PB.5274.1	1663	1103	485	410
PB.5275.1	347	223	240	253
PB.5276.1	6369	4348	3145	3226
PB.5277.1	609.6	500.43	930.72	978.76
PB.5277.2	99.4	113.57	58.28	93.24
PB.5278.1	2845.59	1543.49	2010.79	1780.12
PB.5278.2	885.41	504.51	486.21	264.88
PB.5279.1	3662	2320	2701	2494
PB.528.1	208.5	157.07	66.53	61.94
PB.528.2	265.83	92.69	727.93	526.22
PB.528.3	3680.68	2841.24	12418.54	12026.84
PB.5280.1	337	95	764	738
PB.5281.1	2473	1475	1616	1764
PB.5282.1	140428	137566	93513	102652
PB.5283.1	320.95	240.37	731.94	752.08
PB.5283.10	77.14	82.35	229.79	196.1
PB.5283.11	19.94	27.62	47.63	22.66
PB.5283.2	102.01	55.72	232.5	347.45
PB.5283.3	6855.36	3550.97	5529.87	4305.57
PB.5283.4	46.87	51.71	24.17	30.18
PB.5283.5	136.36	181.49	34.73	72.25
PB.5283.6	187.48	397.48	111.6	80.84
PB.5283.7	729.31	152.17	215.09	141.06
PB.5283.8	36.58	31.99	40.42	47.28
PB.5283.9	181	397.14	57.27	193.53
PB.5284.1	817	409	450	453
PB.5285.1	271.3	94.45	126.43	113.72
PB.5285.2	167.68	129.83	697.62	472.61
PB.5285.3	133.38	135.14	179.02	63.95
PB.5285.4	2663.51	1969.55	1900.8	1787.21
PB.5285.5	14.7	3.3	9.96	8.58
PB.5285.6	42.19	51.45	202.17	77.38
PB.5285.7	1249.25	846.93	206	259.54
PB.5286.1	325	160	241	244
PB.5287.1	9128.27	5091.23	8557.47	8760.87
PB.5287.2	735.18	843.05	489.04	398.53
PB.5288.1	1962	1023	823	854
PB.5289.1	771	496	374	319
PB.529.1	290	226	311	334
PB.5290.1	5548.01	3563.13	16216.19	15080.25
PB.5290.2	106.99	137.87	808.81	324.75
PB.5291.1	4114	3088	3956	3959
PB.5292.1	5319	3159	2074	2048
PB.5293.1	2780	1478	1328	1360
PB.5294.1	2252	1001.98	3417.52	3310.62
PB.5294.2	9241	5347.42	9566.08	7812.82
PB.5294.3	24.12	27.97	15.26	40.7
PB.5294.4	200.48	114.35	100.63	154.84
PB.5294.5	4895.41	4108.29	9709.51	11106.01
PB.5295.1	1578.24	534.49	629.23	850.5
PB.5295.2	514.59	554.36	146.36	184.33
PB.5295.3	720.52	345.75	235.07	177.25
PB.5295.4	429.65	469.39	432.34	268.93
PB.5296.1	1509.98	1492.25	525.27	496.76
PB.5296.2	933.3	1309.71	345.59	365.93
PB.5296.3	751.73	482.04	92.14	33.31
PB.5297.1	1780	1358	496	468
PB.5298.1	1927	1921	1260	1205
PB.5299.1	727.25	631.94	448.61	410.44
PB.5299.2	83.75	88.06	76.39	55.55
PB.53.1	2208	1681	1236	1175
PB.530.1	229.73	147.36	5002.47	4030.22
PB.530.2	235.23	113.13	722.04	694.3
PB.5300.1	906.8	601.37	809.83	745.16
PB.5300.2	95.2	88.63	81.17	73.84
PB.5301.1	9749	7149	9252	9484
PB.5302.1	810.13	712.25	508.51	504.15
PB.5302.2	359.87	311.75	175.49	218.85
PB.5303.1	1249.08	861.08	985.62	905.19
PB.5303.2	449.7	714.41	806.28	654.83
PB.5303.3	219.22	300.51	168.1	170.97
PB.5304.1	707	292	504	337
PB.5305.1	27530.92	15967	8355	6242
PB.5306.1	251.58	32.35	198.93	134.25
PB.5307.1	1612.43	1538.06	1396.45	1386.66
PB.5307.2	558.99	376.6	486.62	486.09
PB.5308.1	3350	1885	6025	5192
PB.5309.1	613.82	428.38	394	644.38
PB.5309.2	1857.18	1120.62	1087	630.62
PB.531.1	41.11	24.52	342.19	244.75
PB.5310.1	9601.68	7157.36	8209.53	6134.35
PB.5311.1	3.65	5.61	27601.8	27314.3
PB.5311.2	1.47	0.43	22.78	21.65
PB.5311.3	3.89	5.96	4664.42	3552.05
PB.5312.1	7656	6040	8836	8487
PB.5313.1	2291	2123	4570	5598
PB.5314.1	15	20	24	13
PB.5315.1	670	486	574	437
PB.5316.1	425	389	806	721
PB.5317.1	736.53	303.32	2228.66	1402.99
PB.5317.2	317.2	142.52	611.37	349.8
PB.5317.3	5145.75	2580.86	12175.4	11665.07
PB.5317.4	11067.42	4331.78	13608.86	13018.36
PB.5317.5	261.35	91.69	376.94	50.67
PB.5317.6	476.32	322.3	450.29	260.79
PB.5317.7	675.13	78.43	1475.5	1677.18
PB.5317.8	344.3	117.09	347.99	232.13
PB.5318.1	5585.91	3438.15	3245.99	2931.35
PB.5318.2	68.09	40.85	218.01	139.65
PB.5318.3	803	423	318	329
PB.5319.1	203.2	55.41	162.41	137.16
PB.5319.2	133.8	139.59	356.59	391.84
PB.532.1	14.28	23.14	117.78	195.41
PB.532.2	44.1	42.85	668.22	507.66
PB.5320.1	116	76	141	76
PB.5321.1	2905.72	1605.04	4288.3	3282.31
PB.5321.2	353.76	233.07	152.58	47.56
PB.5321.3	163.52	32.89	113.12	83.13
PB.5322.1	1927.5	1122.23	223.38	138.76
PB.5322.2	866.5	658.77	203.62	232.24
PB.5323.1	241	282	1265	1055
PB.5324.1	539	750	159	143
PB.5325.1	2409.96	1619.31	506.5	365.66
PB.5325.2	522.04	853.69	223.5	314.34
PB.5326.1	691	589	773	727
PB.5327.1	661.38	589.51	3255.79	3001.65
PB.5327.2	20.62	9.49	46.21	36.35
PB.5328.1	13800	7688	13805	13073
PB.5329.1	300	223	195	177.01
PB.533.1	224	111	189	165
PB.5330.1	22127	16857	11029	10517
PB.5331.1	3746	2571	1901	1761
PB.5332.1	1815.76	2799.85	269.83	243.31
PB.5332.2	32	83	4	3
PB.5333.1	871	2377	68	90
PB.5334.1	112	345	13	22
PB.5335.1	5.24	7.15	13.17	6.69
PB.5336.1	2551	1736	1350	1197
PB.5337.1	3326.95	2962	2890.65	2539.56
PB.5337.2	1508.7	848.71	889.7	659.71
PB.5337.3	1160.35	808.29	609.65	523.73
PB.5338.1	17455.39	10971.21	3409.43	3002.29
PB.5338.2	23317.83	11747.46	2944.21	2209.24
PB.5338.3	22769.16	10721.61	2430.93	3021.8
PB.5338.4	224.78	242.55	59.59	106.27
PB.5339.1	2552	1233	1610	1547
PB.534.1	1892	1978	375	327
PB.5340.1	892	722	662	614
PB.5341.1	4733.82	1925.22	1354.59	1422.94
PB.5341.2	795.43	1042.83	1436.44	803.75
PB.5341.3	1336.55	1307.17	1325.81	1063.03
PB.5341.4	219.57	876.91	244.16	349.41
PB.5342.1	237	124	170	127
PB.5343.1	1367.16	911.51	121.4	577.65
PB.5343.2	8679.71	4520.36	7581.71	6667.52
PB.5343.3	4012.13	2152.14	1935.89	2376.84
PB.5344.1	4107	1805	2619	2409
PB.5345.1	1435.16	777.71	2312.35	2378.81
PB.5345.2	120.84	158.29	145.65	229.19
PB.5346.1	5133.3	4495.98	3111.25	3029.45
PB.5346.2	738.95	570.41	478.59	373.35
PB.5346.3	12000.47	8799.17	4990.54	4967.28
PB.5346.4	868.28	742.44	846.62	750.93
PB.5347.1	573	371	907	704
PB.5348.1	2285.43	1513.17	3317.84	2999.87
PB.5348.2	989.57	417.83	955.16	740.13
PB.5349.1	168.14	187.93	194.97	224.41
PB.5349.2	4148.86	2513.07	2489.03	2081.6
PB.535.1	299.05	175.84	1183.05	1199.25
PB.535.2	50.6	33.47	499.59	859.47
PB.535.3	20.55	55.07	207.19	149.69
PB.5350.1	560	263	442	439
PB.5351.1	831	501	340	266
PB.5352.1	1631	957	592	640
PB.5353.1	766.87	132.94	33.46	41.76
PB.5353.2	2548.13	1660.07	788.54	720.24
PB.5354.1	1799.35	619.78	424.63	403.49
PB.5354.2	762.65	217.22	145.37	144.51
PB.5355.1	601	624	348	253
PB.5356.1	310.25	84.12	42.1	30.63
PB.5356.2	12612.75	8370.88	4149.9	4140.37
PB.5357.1	422.06	290.09	587.17	501.89
PB.5357.2	9.94	34.91	20.83	11.11
PB.5358.1	3273	2431	2450	2285
PB.5359.1	3824	3586	3829	3419
PB.536.1	24.29	22.74	262.11	294.1
PB.5360.1	1375.28	1245.79	69.09	129.25
PB.5361.1	369.96	502.26	49.23	22.78
PB.5361.2	6596.18	7156.57	618.91	612.68
PB.5361.3	771.96	569.04	123.07	90.19
PB.5361.4	898.63	705.35	168.71	101.09
PB.5362.1	13829.91	8263.67	16332.56	14180.9
PB.5362.2	57.01	63.14	74.58	52.14
PB.5362.3	1026.79	442.13	2758.52	2103.59
PB.5362.4	5255.77	2644.39	3695.2	4547.63
PB.5362.5	265.52	165.66	164.14	137.74
PB.5363.1	14373.88	8127.4	25666.87	19696.63
PB.5363.2	34.84	39.35	82.21	126.75
PB.5363.3	5460.78	2518.22	5701.21	5504.67
PB.5363.4	7212.49	3193.03	1102.72	3525.96
PB.5364.1	452.63	356.7	466.78	508.6
PB.5365.1	3055	1883	1199	1060
PB.5366.1	81	31	2129	1828
PB.5367.1	5340	3243	11942	10777
PB.5368.1	1806.68	1319.93	1873.82	1704.63
PB.5368.2	56.77	56.36	70.2	70.99
PB.5368.3	1224.39	644.62	452.54	431.74
PB.5368.4	44.16	22.1	42.44	19.64
PB.5369.1	811	308	1939	2090
PB.537.1	31.06	29.89	1041.36	883.16
PB.5370.1	519	326	1029	1063
PB.5371.1	3305	1940	1875	1675
PB.5372.1	704.92	360.57	627.82	539.66
PB.5372.2	509.84	304.13	249.54	174.97
PB.5372.3	752.24	927.3	236.64	483.38
PB.5373.1	3892	2832	811	778
PB.5374.1	8921	5470	14522.99	15180.99
PB.5375.1	2078.49	1731.12	618.61	623.91
PB.5375.2	1440.77	1304.18	670.46	550.04
PB.5375.3	8741.6	7241.4	3999.52	3666.15
PB.5375.4	300.73	384.84	351.13	263.37
PB.5375.5	237.42	103.46	81.29	80.52
PB.5376.1	1061.9	394.68	685.47	806.16
PB.5376.2	2737.1	1887.32	1742.53	1533.84
PB.5377.1	24539	16050	20536	21539
PB.5378.1	1497	1356	414	374
PB.5379.1	5279	3789	3674	3378
PB.538.1	567.8	327.25	255.71	261.64
PB.538.2	3333.2	2051.74	1412.29	1222.36
PB.538.3	33	34	27	14
PB.5380.1	2108	1004	2492	2439
PB.5381.1	627.76	523.48	1223.57	1038.83
PB.5381.2	774.24	314.52	312.43	419.17
PB.5382.1	1237.56	904.52	495.32	430.69
PB.5382.2	684.33	403.3	435.91	434.29
PB.5382.3	5059.51	3372.26	2604.45	2713.77
PB.5382.4	251.47	382.49	168.55	56.42
PB.5382.5	4197.85	2706.56	1977.69	2148.57
PB.5382.6	265.46	225.84	150.08	113.27
PB.5383.1	2175.31	1311.59	1752.42	1658.4
PB.5383.2	98.69	225.41	79.58	23.6
PB.5384.1	4188.89	2159.44	5608.28	5124.87
PB.5384.2	4673.11	2127.56	4197.72	5021.13
PB.5384.3	30	13	16	22
PB.5385.1	5212.75	3957.11	3390.36	2633.95
PB.5385.2	2280.63	1228	1509.41	1463.28
PB.5385.3	4628.98	3999.23	2618.5	2107.13
PB.5385.4	64.64	179.66	202.73	316.63
PB.5386.1	10904.77	6776.39	10751.43	10433.05
PB.5386.2	2269.84	683.12	2443.71	3339.09
PB.5386.3	809.34	506.04	706.21	455.19
PB.5386.4	877.9	187.5	1518.29	1016.57
PB.5386.5	161.94	124.38	824.46	323.61
PB.5386.6	2286.95	341.76	2687.17	3022.09
PB.5386.7	1398.45	773.76	1776.86	1519.25
PB.5386.8	3853.4	1390.79	1965.61	2235.34
PB.5387.1	776	543	306	317
