NSC	NSC	OLD	OLD
PB.1127.1	2842.04	2057.8	1345.86	1260.11
PB.1127.2	539.56	701.92	480.14	399.28
PB.1127.3	2112.4	1654.28	779	983.61
PB.1128.1	68.89	35.45	41.38	25.29
PB.1128.2	90.45	149.53	294.85	182.14
PB.1128.3	813.17	353.82	1705.75	1402.55
PB.1128.4	32.49	59.2	70.02	101.03
PB.1129.1	1192.04	915.99	2864.33	3066.4
PB.1129.2	303.39	94.9	372.39	211.54
PB.1129.3	174.02	66.89	166.16	132.22
PB.1129.4	227.55	156.22	63.12	107.85
PB.113.1	3576.24	3311.05	1784.16	1706.25
PB.113.2	2624.12	1864.93	1209.25	1115.53
PB.113.3	4034.48	2442.75	1639.78	1755.06
PB.1130.1	1213	501	1996	1808
PB.1131.1	1291.29	992.78	425.61	561.4
PB.1131.2	651.71	625.22	557.39	397.6
PB.1132.1	180924.22	113012.87	131972.11	122251.56
PB.1132.2	11719.78	7774.13	9575.89	8093.44
PB.1133.1	1971.2	1779.43	2655.21	2350.39
PB.1133.2	68.45	40.02	66.3	48.98
PB.1133.3	646.35	432.55	355.49	338.63
PB.1134.1	5533.16	3107.82	2213.68	2067.64
PB.1134.2	891.07	668.34	350.38	337.72
PB.1135.1	8297.77	4065.83	7304.94	6752.64
PB.1136.1	945	668	785	679
PB.1137.1	5837	4291	5082	4496
PB.1138.1	6031.84	3673.2	6742.37	6737.23
PB.1138.2	228.16	110.8	160.63	98.77
PB.1139.1	962	839	750	764
PB.114.1	1946.95	1784.27	1254.59	1039.16
PB.1140.1	16832	10550	5219	4820
PB.1141.1	1432.57	930.18	1136.45	1059.23
PB.1141.2	1954.43	1931.82	1859.55	1984.77
PB.1142.1	1042	684	358	300
PB.1143.1	1666	1403	1212	1068
PB.1144.1	1068	818	535	489
PB.1145.1	5803.91	4020.23	4625.06	3914.17
PB.1146.1	174.09	675.77	571.94	613.83
PB.1147.1	1433.41	449.09	1465.15	1163.67
PB.1147.2	1017	351.3	729.35	546.72
PB.1147.3	2674.54	1193.68	1403.09	1440.7
PB.1147.4	111.05	24.94	69.41	92.91
PB.1148.1	5834.67	1491.1	2712.65	2461.71
PB.1148.2	925.67	289.69	665.86	427.26
PB.1148.3	253.66	53.21	51.49	73.03
PB.1149.1	1273.99	867.9	857.78	756.54
PB.115.1	583	423	753	703
