pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.5926.2	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.2992.1	10	15	15.5	1.74282218682e-05	2.61423328024e-05	2.70137438958e-05
PB.6392.1	2	4	4	3.48564437365e-06	6.97128874729e-06	6.97128874729e-06
PB.2992.2	1	3	3.5	1.74282218682e-06	5.22846656047e-06	6.09987765388e-06
PB.2883.2	3	3	3.5	5.22846656047e-06	5.22846656047e-06	6.09987765388e-06
PB.2551.1	3	4	4.5	5.22846656047e-06	6.97128874729e-06	7.84269984071e-06
PB.2716.2	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.1144.1	2	7	7	3.48564437365e-06	1.21997553078e-05	1.21997553078e-05
PB.3637.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.373.3	0	0	0.666666666667	0.0	0.0	1.16188145788e-06
PB.373.2	2	3	3.66666666667	3.48564437365e-06	5.22846656047e-06	6.39034801835e-06
PB.373.1	8	12	12.6666666667	1.39425774946e-05	2.09138662419e-05	2.20757476998e-05
PB.6563.1	2	3	3.5	3.48564437365e-06	5.22846656047e-06	6.09987765388e-06
PB.4178.2	4	4	8.83333333333	6.97128874729e-06	6.97128874729e-06	1.53949293169e-05
PB.4178.1	22	26	31.3333333333	3.83420881101e-05	4.53133768574e-05	5.46084285205e-05
PB.6563.2	1	2	2.5	1.74282218682e-06	3.48564437365e-06	4.35705546706e-06
PB.4023.2	0	1	3.5	0.0	1.74282218682e-06	6.09987765388e-06
PB.4023.1	22	31	33.5	3.83420881101e-05	5.40274877915e-05	5.83845432586e-05
PB.2132.2	1	1	1.5	1.74282218682e-06	1.74282218682e-06	2.61423328024e-06
PB.7452.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.1200.1	5	12	12	8.71411093412e-06	2.09138662419e-05	2.09138662419e-05
PB.6432.4	1	1	1.25	1.74282218682e-06	1.74282218682e-06	2.17852773353e-06
PB.6432.2	0	0	0.25	0.0	0.0	4.35705546706e-07
PB.2401.1	0	6	6	0.0	1.04569331209e-05	1.04569331209e-05
PB.6432.1	4	4	4.25	6.97128874729e-06	6.97128874729e-06	7.406994294e-06
PB.569.1	22	38	38	3.83420881101e-05	6.62272430993e-05	6.62272430993e-05
PB.1907.1	0	3	3	0.0	5.22846656047e-06	5.22846656047e-06
PB.4158.1	6	12	12	1.04569331209e-05	2.09138662419e-05	2.09138662419e-05
PB.5283.10	0	0	0.994047619048	0.0	0.0	1.73244824524e-06
PB.4683.5	0	0	5.91666666667	0.0	0.0	1.03116979387e-05
PB.6793.2	1	1	1.83333333333	1.74282218682e-06	1.74282218682e-06	3.19517400918e-06
PB.836.7	2	3	4.17023809524	3.48564437365e-06	5.22846656047e-06	7.26798347672e-06
PB.6856.1	37	38	42.5	6.44844209125e-05	6.62272430993e-05	7.406994294e-05
PB.6801.2	0	1	1	0.0	1.74282218682e-06	1.74282218682e-06
PB.428.1	12	27	31.5	2.09138662419e-05	4.70561990442e-05	5.48988988849e-05
PB.428.2	0	0	4.0	0.0	0.0	6.97128874729e-06
PB.2559.1	22	23	33.8333333333	3.83420881101e-05	4.00849102969e-05	5.89654839875e-05
PB.7725.1	4	8	8	6.97128874729e-06	1.39425774946e-05	1.39425774946e-05
PB.2975.4	1	2	4.58333333333	1.74282218682e-06	3.48564437365e-06	7.98793502294e-06
PB.971.1	4	4	4	6.97128874729e-06	6.97128874729e-06	6.97128874729e-06
PB.2379.1	9	16	16	1.56853996814e-05	2.78851549892e-05	2.78851549892e-05
PB.6408.4	0	1	5.16666666667	0.0	1.74282218682e-06	9.00458129859e-06
PB.6408.1	7	39	48.6666666667	1.21997553078e-05	6.79700652861e-05	8.48173464254e-05
PB.6408.3	2	2	8.66666666667	3.48564437365e-06	3.48564437365e-06	1.51044589525e-05
PB.6408.2	0	0	3.5	0.0	0.0	6.09987765388e-06
PB.3228.2	0	6	6.5	0.0	1.04569331209e-05	1.13283442144e-05
PB.5159.1	0	0	5.86666666667	0.0	0.0	1.02245568294e-05
PB.7026.1	0	1	1	0.0	1.74282218682e-06	1.74282218682e-06
PB.1519.2	1	1	1.2	1.74282218682e-06	1.74282218682e-06	2.09138662419e-06
PB.6239.1	3	4	4	5.22846656047e-06	6.97128874729e-06	6.97128874729e-06
PB.3683.1	2	3	3	3.48564437365e-06	5.22846656047e-06	5.22846656047e-06
PB.1519.4	0	3	3	0.0	5.22846656047e-06	5.22846656047e-06
PB.1372.1	6	9	9	1.04569331209e-05	1.56853996814e-05	1.56853996814e-05
PB.6892.2	5	6	7.5	8.71411093412e-06	1.04569331209e-05	1.30711664012e-05
PB.6892.3	7	8	10.5	1.21997553078e-05	1.39425774946e-05	1.82996329616e-05
PB.4186.8	2	3	6.39285714286	3.48564437365e-06	5.22846656047e-06	1.11416132658e-05
PB.5172.2	0	0	1.0	0.0	0.0	1.74282218682e-06
PB.1563.1	0	0	0.4	0.0	0.0	6.97128874729e-07
PB.4186.4	1	1	1.86666666667	1.74282218682e-06	1.74282218682e-06	3.25326808207e-06
PB.4186.5	1	8	10.0	1.74282218682e-06	1.39425774946e-05	1.74282218682e-05
PB.4186.6	1	1	1.14285714286	1.74282218682e-06	1.74282218682e-06	1.99179678494e-06
PB.4186.7	0	0	1.11666666667	0.0	0.0	1.94615144195e-06
PB.4878.2	1	2	2.5	1.74282218682e-06	3.48564437365e-06	4.35705546706e-06
PB.4186.1	39	45	52.3095238095	6.79700652861e-05	7.84269984071e-05	9.11661986774e-05
PB.4186.2	17	19	23.5595238095	2.9627977176e-05	3.31136215496e-05	4.10600608062e-05
PB.2544.1	2	4	4.33333333333	3.48564437365e-06	6.97128874729e-06	7.55222947624e-06
PB.3593.1	1	1	1.5	1.74282218682e-06	1.74282218682e-06	2.61423328024e-06
PB.3252.5	21	24	28.85	3.65992659233e-05	4.18277324838e-05	5.02804200899e-05
PB.979.2	57	57	63.0166666667	9.93408646489e-05	9.93408646489e-05	0.000109826844806
PB.979.1	3	4	9.51666666667	5.22846656047e-06	6.97128874729e-06	1.65858578113e-05
PB.3252.6	8	12	19.3333333333	1.39425774946e-05	2.09138662419e-05	3.36945622786e-05
PB.3252.1	12	18	26.3333333333	2.09138662419e-05	3.13707993628e-05	4.58943175864e-05
PB.276.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.3252.3	1	2	7.0	1.74282218682e-06	3.48564437365e-06	1.21997553078e-05
PB.3252.2	47	61	71.3333333333	8.19126427807e-05	0.000106312153396	0.000124321315993
PB.4162.6	1	3	7.11666666667	1.74282218682e-06	5.22846656047e-06	1.24030845629e-05
PB.737.2	34	39	48.5	5.9255954352e-05	6.79700652861e-05	8.45268760609e-05
PB.4162.4	4	5	7.95	6.97128874729e-06	8.71411093412e-06	1.38554363852e-05
PB.3611.1	1	4	7.08333333333	1.74282218682e-06	6.97128874729e-06	1.234499049e-05
PB.4162.2	1	1	1.7	1.74282218682e-06	1.74282218682e-06	2.9627977176e-06
PB.4162.3	0	0	1.83333333333	0.0	0.0	3.19517400918e-06
PB.3611.4	2	2	6.41666666667	3.48564437365e-06	3.48564437365e-06	1.11831090321e-05
PB.4162.1	13	16	21.2833333333	2.26566884287e-05	2.78851549892e-05	3.70930655429e-05
PB.5916.12	3	3	5.6623015873	5.22846656047e-06	5.22846656047e-06	9.86838483484e-06
PB.2316.1	2	4	4	3.48564437365e-06	6.97128874729e-06	6.97128874729e-06
PB.5916.10	29	32	39.5757936508	5.05418434179e-05	5.57703099784e-05	6.89735712358e-05
PB.5916.11	8	8	11.5583333333	1.39425774946e-05	1.39425774946e-05	2.0144119776e-05
PB.5916.14	0	0	5.29404761905	0.0	0.0	9.22658364858e-06
PB.5916.15	1	6	6	1.74282218682e-06	1.04569331209e-05	1.04569331209e-05
PB.2210.1	2	10	12.75	3.48564437365e-06	1.74282218682e-05	2.2220982882e-05
PB.2210.2	1	1	2.75	1.74282218682e-06	1.74282218682e-06	4.79276101376e-06
PB.2210.3	1	1	1.25	1.74282218682e-06	1.74282218682e-06	2.17852773353e-06
PB.2210.4	2	3	4.25	3.48564437365e-06	5.22846656047e-06	7.406994294e-06
PB.2739.3	0	0	1.08333333333	0.0	0.0	1.88805736906e-06
PB.4591.1	0	1	2.5	0.0	1.74282218682e-06	4.35705546706e-06
PB.4943.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.2300.2	0	6	25.5	0.0	1.04569331209e-05	4.4441965764e-05
PB.6866.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.4474.1	0	2	2	0.0	3.48564437365e-06	3.48564437365e-06
PB.1921.2	0	0	1.5	0.0	0.0	2.61423328024e-06
PB.4581.1	1	4	5.5	1.74282218682e-06	6.97128874729e-06	9.58552202753e-06
PB.1921.1	6	12	13.5	1.04569331209e-05	2.09138662419e-05	2.35280995221e-05
PB.3619.8	0	0	0.65	0.0	0.0	1.13283442144e-06
PB.3619.9	0	4	7.10833333333	0.0	6.97128874729e-06	1.23885610447e-05
PB.1814.1	1	2	2.5	1.74282218682e-06	3.48564437365e-06	4.35705546706e-06
PB.3619.2	0	0	0.666666666667	0.0	0.0	1.16188145788e-06
PB.3619.3	2	2	4.60833333333	3.48564437365e-06	3.48564437365e-06	8.03150557761e-06
PB.3619.1	2	4	5.0	3.48564437365e-06	6.97128874729e-06	8.71411093412e-06
PB.3619.6	1	1	2.79166666667	1.74282218682e-06	1.74282218682e-06	4.86537860488e-06
PB.5026.1	20	31	31	3.48564437365e-05	5.40274877915e-05	5.40274877915e-05
PB.3619.4	0	0	0.2	0.0	0.0	3.48564437365e-07
PB.3619.5	0	0	0.666666666667	0.0	0.0	1.16188145788e-06
